cbo,wmc,dit,rfc
2,1,2,0
9,2,1,4
6,3,1,19
2,1,1,0
8,10,2,9
20,13,1,68
2,6,1,8
6,6,1,0
22,13,1,58
1,1,1,0
1,1,1,0
5,2,1,16
8,2,1,15
1,0,1,0
2,3,1,0
12,4,1,38
1,1,3,0
22,8,1,42
4,2,1,0
12,6,1,25
16,4,2,9
7,3,1,7
27,6,2,37
1,1,1,10
1,1,2,0
28,31,2,121
1,0,1,0
5,2,1,15
2,0,1,0
4,4,1,27
19,6,1,52
4,2,2,1
9,3,1,18
12,4,1,6
11,2,1,16
2,2,1,12
0,2,4,0
7,3,1,16
16,6,1,35
8,2,1,9
11,4,1,24
10,4,1,17
12,5,1,19
18,7,1,38
14,3,1,9
11,1,2,11
7,2,1,8
3,12,1,17
13,7,1,14
4,7,1,16
0,1,1,0
1,0,1,0
4,5,1,15
11,5,1,14
1,4,2,0
4,28,1,24
17,12,1,28
5,3,2,2
29,22,2,66
17,5,1,17
8,4,1,27
7,0,1,0
6,4,1,0
7,4,1,30
5,9,1,31
3,1,1,2
13,3,1,22
12,5,1,28
30,55,2,70
4,11,1,19
5,3,1,16
1,2,1,0
2,0,1,0
0,1,1,0
5,10,1,25
2,6,1,7
2,0,1,0
2,1,1,4
8,11,1,0
6,3,1,0
30,16,1,60
12,2,1,19
21,29,1,65
2,0,1,0
5,3,1,22
2,1,1,0
4,4,1,0
2,2,2,0
9,1,1,10
38,78,1,141
10,4,1,18
8,1,2,12
12,5,1,38
4,6,1,13
9,4,1,25
0,0,1,0
3,1,1,7
7,0,2,0
6,3,1,3
15,8,1,37
9,5,2,13
3,3,1,11
2,1,3,0
2,0,1,0
17,8,3,23
10,7,1,20
15,9,1,26
9,5,2,4
7,23,1,36
3,0,1,0
11,2,1,9
11,4,1,37
4,6,1,0
15,6,1,37
8,1,2,11
26,16,1,58
3,3,2,2
7,20,1,15
13,5,1,21
2,0,1,0
7,3,2,7
15,5,1,45
7,0,1,0
3,6,1,6
4,2,1,29
5,7,1,19
9,3,1,13
1,0,1,0
0,1,4,0
27,7,1,22
3,2,1,2
13,8,1,20
3,2,1,1
16,15,1,59
4,0,1,0
3,1,1,0
5,4,1,7
1,3,1,1
4,1,1,1
9,3,1,11
2,8,1,6
32,38,1,109
14,1,1,13
1,1,1,7
1,1,1,4
3,2,1,2
1,1,1,7
18,10,1,21
9,2,1,19
7,13,1,19
11,3,1,27
6,2,1,12
4,2,1,15
1,0,1,0
23,21,2,85
11,4,1,33
3,1,1,3
13,2,1,30
11,3,1,17
6,6,1,0
4,2,3,3
2,2,1,0
3,4,1,8
4,2,1,12
5,19,2,5
12,6,1,21
2,0,1,0
4,6,1,18
12,7,1,24
6,3,1,15
7,5,1,14
8,4,2,2
11,2,1,20
21,18,1,68
3,1,1,1
7,3,1,18
10,4,1,19
16,8,1,15
14,8,1,44
2,2,1,0
17,9,1,35
33,10,1,40
9,5,1,32
2,3,1,5
1,1,1,0
14,5,1,28
0,0,1,0
9,9,1,11
2,2,2,0
0,0,1,0
24,12,1,73
1,0,2,0
16,9,1,43
5,4,1,21
10,7,1,15
12,1,1,14
2,7,1,3
4,1,2,2
19,22,1,51
5,4,1,9
12,1,1,11
9,2,2,23
3,1,1,3
14,3,2,21
6,2,1,6
6,2,1,11
13,4,1,20
1,0,1,0
13,1,2,24
1,0,2,0
2,2,1,11
7,3,1,7
11,2,1,29
11,8,1,40
1,5,1,3
10,2,1,32
2,1,1,0
0,0,1,0
13,4,1,15
1,4,1,13
7,2,1,40
16,7,1,59
8,1,1,10
37,2,1,2
10,3,1,0
2,1,2,0
0,2,4,0
9,3,1,16
7,8,1,19
1,3,2,0
10,3,1,13
4,2,2,0
7,3,1,5
4,1,1,8
6,2,1,15
2,5,1,0
22,11,1,59
3,4,2,1
2,1,2,0
6,0,2,0
6,2,1,26
19,17,1,42
0,0,1,0
0,0,1,0
5,4,1,0
3,7,1,9
1,2,1,4
3,1,2,0
19,3,1,16
9,3,1,19
7,2,1,25
5,3,1,2
6,11,2,16
3,2,1,3
7,11,1,23
3,1,1,0
39,25,2,93
3,0,1,0
7,0,2,0
6,3,1,7
9,14,2,36
11,1,1,17
7,2,3,6
5,1,1,17
18,9,1,65
19,5,1,38
3,4,1,0
9,8,1,18
3,0,1,0
0,0,1,0
2,1,1,9
12,4,1,38
1,0,4,0
3,4,1,0
3,2,1,11
12,5,1,17
5,0,1,0
6,7,1,8
9,8,1,11
7,11,1,32
1,6,2,5
4,2,2,2
10,2,1,21
16,15,1,35
6,2,1,16
10,2,1,13
7,2,1,24
14,5,1,24
21,11,1,86
10,5,1,5
7,3,1,24
8,2,2,12
3,3,1,0
14,1,2,26
5,10,3,11
6,2,1,25
2,4,1,8
10,6,1,26
2,10,1,17
12,10,1,13
2,2,2,0
5,15,1,7
13,7,1,9
8,11,1,19
6,1,1,13
1,1,1,0
6,3,1,3
2,2,2,0
6,5,2,10
9,19,1,14
2,2,1,0
3,1,1,3
0,0,1,0
8,12,1,11
5,4,1,3
15,18,1,43
14,9,1,17
2,0,1,0
0,0,1,0
8,13,2,10
1,7,1,15
3,2,1,0
15,5,1,48
9,3,1,13
9,4,1,14
8,4,1,6
14,2,1,47
13,7,1,32
0,0,3,0
10,1,2,8
5,4,1,10
15,17,1,56
3,3,1,7
3,0,1,0
2,6,1,0
7,2,1,41
28,12,1,51
3,0,1,0
11,5,1,21
7,2,1,8
2,0,1,0
25,22,1,63
3,1,2,0
1,1,2,0
8,3,1,8
2,0,1,0
14,3,1,24
2,2,1,2
9,4,1,15
29,39,1,109
10,5,1,18
1,3,2,0
5,4,2,6
5,2,1,20
6,21,2,31
3,10,1,9
6,2,1,16
9,3,2,1
12,1,1,8
7,1,2,15
9,11,1,42
7,10,1,40
4,1,1,1
3,3,1,7
8,1,1,2
4,6,2,6
5,3,1,11
7,4,2,13
1,1,3,0
2,4,2,1
1,1,1,0
14,3,1,43
17,21,1,34
15,7,2,21
24,13,1,39
10,0,1,0
26,27,1,69
3,2,1,2
9,8,8,15
10,4,1,38
8,5,1,32
14,11,1,67
4,0,1,0
2,0,1,0
2,4,2,0
3,18,1,14
2,11,1,20
5,2,1,8
24,12,1,65
13,3,1,24
6,3,1,11
1,11,1,0
5,16,1,15
2,2,1,0
6,2,1,5
3,2,2,2
8,1,1,10
9,2,1,22
17,5,1,42
6,6,1,0
3,9,1,10
1,0,1,0
7.939617084,5.407952872,1.213549337,16.50073638
