cbo,wmc,dit,rfc
3,2,1,0
5,7,1,1
7,14,1,4
1,0,1,1
9,23,1,19
0,2,1,0
4,7,1,0
2,1,1,0
7,14,1,32
9,11,1,24
3,7,1,17
11,29,1,25
8,2,1,0
5,3,1,1
7,2,2,0
4,2,3,0
7,7,2,4
5,3,1,14
10,6,1,26
5,7,1,6
8,5,1,18
4,1,8,0
0,0,1,0
4,3,7,3
0,7,1,2
5,3,4,5
7,6,1,0
9,15,1,22
8,26,1,29
1,7,4,9
2,6,1,1
2,1,2,0
3,4,1,0
9,8,1,6
6,14,4,10
13,102,1,38
1,2,1,3
6,17,1,2
0,0,1,0
3,11,1,4
5,3,8,4
10,10,1,21
2,3,1,0
3,6,1,6
4,10,1,2
4,1,1,6
5,11,1,7
4,1,7,0
4,7,1,7
3,3,3,2
4,1,6,0
11,9,1,1
2,8,1,6
4,1,7,0
8,2,1,19
1,1,1,0
4,6,1,2
1,1,1,0
4,1,3,0
4,0,1,0
2,4,1,0
9,5,1,2
6,9,1,27
5,7,6,5
4,1,7,0
3,4,2,1
2,2,3,2
6,35,1,19
4,4,1,1
3,2,1,0
4,1,7,0
4,3,6,3
4,4,3,3
9,7,7,7
7,12,1,13
1,0,1,1
7,5,4,5
3,2,1,5
5,12,1,5
5,7,1,0
5,4,1,0
3,3,3,4
4,3,1,3
3,2,1,0
4,1,1,7
4,11,2,0
4,6,1,0
12,9,1,4
3,5,3,2
6,26,1,17
42,7,1,11
3,5,3,2
6,8,1,2
4,4,1,3
1,0,1,1
20,5,1,3
0,2,1,0
12,10,1,17
3,4,1,0
3,3,1,0
4,2,3,0
3,1,1,0
3,1,1,0
6,18,1,12
25,67,1,49
6,4,1,2
4,1,7,0
4,1,3,0
4,2,1,16
3,1,1,2
4,3,1,11
29,23,1,18
4,3,1,0
1,0,1,0
7,23,2,11
5,7,7,6
5,14,1,1
4,5,1,16
4,7,7,5
4,3,1,0
1,2,1,2
1,2,1,2
0,0,1,0
4,2,1,0
3,1,1,0
3,4,1,5
15,11,1,37
8,33,1,26
5,1,1,10
6,2,1,2
8,6,1,0
11,3,1,19
5,4,1,0
3,6,2,3
3,3,3,2
3,2,1,4
6,40,1,20
2,8,1,3
4,8,2,2
6,3,1,0
3,4,1,8
6,10,2,5
5,7,7,5
9,4,1,24
5,2,2,0
8,23,1,22
1,5,2,2
5,3,6,2
3,5,1,4
4,3,7,3
5,8,3,10
5,3,3,0
6,4,7,6
3,1,1,0
4,1,2,0
5,3,2,0
7,3,1,2
9,3,1,1
4,5,1,2
3,2,1,3
19,47,1,39
4,1,2,0
6,3,1,6
6,16,2,8
0,2,1,0
2,1,1,0
0,2,1,1
4,3,1,0
0,2,1,4
10,27,1,12
0,2,1,0
6,5,2,5
3,1,1,11
0,0,1,0
5,6,7,4
1,0,1,0
4,2,4,0
3,4,1,1
6,5,1,0
4,3,1,4
7,14,1,3
6,6,1,0
1,1,2,1
4,6,1,18
30,41,1,33
5,4,1,14
9,8,1,8
0,0,1,0
1,0,1,0
3,6,2,1
38,34,1,1
12,35,1,66
13,54,2,36
5,3,8,4
2,2,1,1
7,10,1,1
5,15,7,5
5,2,1,1
3,2,1,4
3,2,1,4
1,0,1,0
26,46,1,44
3,2,1,4
1,0,2,0
5,1,1,2
0,1,1,0
3,2,1,4
1,0,1,0
0,0,1,0
6,6,1,0
3,1,1,3
4,1,1,1
4,1,1,1
6,7,1,0
4,1,1,1
5,2,1,4
7,4,1,0
10,12,1,28
25,26,1,27
7,1,1,33
9,9,3,1
5,18,2,28
10,9,1,27
21,88,1,65
18,43,1,57
13,24,1,31
5,8,1,13
1,1,1,4
1,4,1,0
4,11,2,14
4,32,1,14
0,0,1,0
4,4,1,0
19,44,1,35
8,39,1,24
4,4,3,3
7,11,1,0
4,2,4,0
3,11,1,5
8,31,2,22
12,24,1,24
6,4,1,2
4,5,1,7
21,25,2,56
3,1,2,0
4,5,1,12
6,7,1,21
1,1,1,2
1,0,1,0
6,8,1,8
5,13,1,11
4,8,1,0
1,0,1,0
34,94,2,95
5,42,1,25
1,0,1,1
5,5,1,0
16,12,1,17
8,3,1,3
4,9,1,4
3,3,1,5
2,1,1,0
1,5,1,2
1,1,1,11
18,27,1,27
6,7,2,1
9,8,1,11
3,5,2,3
6,5,1,6
10,9,1,27
3,7,1,11
6,1,1,6
7,2,2,1
15,100,1,115
8,11,1,0
3,1,1,2
4,1,6,0
5,10,1,0
3,5,1,0
3,9,1,7
1,0,1,1
3,5,2,5
0,1,1,4
5,5,2,3
7,21,7,8
6,11,2,5
0,0,1,0
4,1,3,0
10,16,1,43
4,1,2,0
3,7,1,23
3,3,1,0
18,36,1,48
4,4,3,7
2,2,1,0
7,6,1,0
6,10,2,11
2,2,1,0
2,0,1,0
2,2,1,2
15,34,1,16
2,5,1,9
5,1,1,1
7,11,1,6
4,6,1,17
0,0,1,0
5,13,1,9
4,11,2,0
6,10,1,15
4,9,1,3
4,1,4,0
9,2,1,19
0,0,1,0
5,7,1,0
3,1,1,6
0,4,1,0
4,5,1,3
7,9,1,0
6,5,1,0
3,11,1,2
3,2,1,0
2,2,1,3
28,50,1,77
2,2,1,1
1,0,1,1
2,2,1,3
2,2,1,3
5,6,1,12
3,14,1,2
2,2,1,1
2,1,1,0
8,6,1,5
2,2,1,2
6,7,1,0
6,7,1,12
9,1,1,25
6,51,1,58
7,8,1,22
7,6,2,1
9,22,1,30
11,12,1,30
1,5,2,2
11,14,1,25
10,7,1,6
3,3,3,2
5,1,1,0
1,2,1,0
13,12,1,13
5,3,6,2
11,14,1,21
12,37,1,26
5,6,3,6
10,19,1,13
5,3,1,3
24,27,1,18
2,8,2,3
2,1,1,1
4,2,1,7
0,0,1,0
3,2,1,9
11,18,2,17
4,4,1,9
4,2,1,1
1,2,1,3
1,0,1,1
2,12,1,8
8,10,2,11
5,6,6,5
9,11,1,0
0,0,1,0
16,15,4,33
3,4,1,0
17,3,1,21
10,7,1,2
12,8,3,9
0,0,1,0
5,3,2,0
0,0,1,0
4,3,1,5
5,3,1,11
15,63,1,41
3,9,1,38
10,5,1,21
4,1,7,0
7,27,1,13
6,13,1,0
2,0,1,0
17,57,1,61
19,18,1,20
5,9,6,5
4,2,1,0
6,6,7,11
21,25,1,33
3,2,1,3
8,5,1,0
2,2,3,3
5,17,1,12
2,8,1,1
4,2,1,3
4,7,2,7
17,81,2,52
7,14,1,15
1,1,1,2
0,1,1,0
1,0,1,1
3,1,1,0
5,3,1,11
0,3,1,0
1,1,1,1
1,1,2,1
7,11,2,7
4,3,2,0
4,1,5,0
3,3,1,0
9,5,1,5
12,16,1,29
6,9,6,7
4,3,1,2
1,2,1,1
0,1,1,0
20,9,1,16
2,2,1,0
7,13,1,7
20,39,1,54
17,51,2,30
3,2,1,4
31,44,2,72
5,6,1,0
11,19,1,36
3,1,1,0
4,3,1,5
5,5,7,4
49,7,1,25
5,1,1,2
7,41,1,6
4,5,1,0
18,11,1,11
2,2,1,0
3,4,1,2
5,3,6,2
16,30,1,27
0,2,1,0
9,11,1,0
15,36,1,29
7,5,6,9
3,10,2,1
1,0,1,1
0,5,1,8
6,21,2,5
45,92,2,141
3,2,1,7
9,7,1,26
2,1,1,0
12,27,1,27
4,2,1,2
5,2,1,2
3,5,2,3
4,13,1,5
4,3,1,0
12,28,2,12
2,1,1,0
5,11,1,7
9,6,1,5
7,27,3,11
1,1,1,0
5,4,1,5
6,9,1,16
6,5,1,0
3,2,1,7
3,2,1,0
5,6,1,22
20,64,2,59
0,5,1,0
9,6,1,26
10,21,2,36
6,5,1,0
6,4,1,7
5,15,3,14
1,5,2,2
7,7,2,1
4,19,1,3
12,7,1,26
7,3,1,18
5,1,1,0
4,5,7,5
2,2,1,0
0,0,1,0
17,27,1,18
7,5,1,5
2,1,1,0
4,1,7,0
4,3,8,3
4,11,1,4
7,7,6,9
9,10,1,0
4,1,3,0
12,11,1,0
2,1,1,0
6,6,2,3
3,4,1,2
5,3,1,8
0,0,1,0
4,5,1,2
3,2,1,9
1,0,1,1
5,9,8,6
16,17,1,6
1,0,1,1
15,15,3,16
1,0,1,1
4,1,6,0
4,1,6,0
6,13,1,6
12,21,1,19
6,5,1,0
5,13,7,5
1,0,1,1
7,3,1,4
4,1,9,0
5,3,1,4
4,8,1,3
5,5,1,0
1,7,1,0
0,0,1,0
4,4,1,9
4,15,1,5
4,2,1,4
5,3,1,0
4,3,6,3
7,12,1,18
7,6,3,1
5,12,2,5
4,1,1,0
4,7,2,0
4,4,3,3
5,8,1,4
6,1,1,0
0,2,1,0
19,128,1,55
4,1,9,0
4,1,4,0
8,8,2,8
0,0,1,0
1,0,3,0
5,8,1,9
2,4,1,0
4,1,2,0
10,5,1,20
8,4,1,6
3,1,1,0
1,2,1,0
4,3,1,11
5,7,9,4
4,6,1,4
9,6,1,6
18,11,1,7
10,4,1,14
4,1,6,0
0,0,1,0
7,4,1,10
0,0,1,0
21,10,1,19
4,4,1,0
6,5,2,5
3,3,1,7
12,32,3,22
8,9,1,0
16,12,1,4
1,0,2,0
2,2,1,1
3,5,1,3
4,1,1,0
6,6,1,45
5,17,1,18
2,5,1,0
7,7,1,20
7,6,1,2
4,2,1,4
21,37,1,50
5,11,1,8
1,1,1,0
0,21,1,0
5,5,1,2
0,0,1,0
1,0,1,0
0,5,1,0
4,9,1,8
4,7,8,5
4,5,3,5
3,1,2,0
4,2,1,33
3,5,1,7
6,2,1,17
15,40,1,18
3,2,1,0
11,10,1,10
4,10,1,13
8,5,1,5
8,17,2,10
7,5,1,5
1,10,1,1
1,1,1,11
4,9,1,8
8,5,1,8
5,4,1,2
4,1,8,0
9,35,1,0
0,1,1,1
1,1,1,0
5,5,1,14
6,5,1,0
5,5,1,3
13,18,2,35
5,3,1,1
6,63,1,52
7,10,1,15
6,17,2,11
12,8,1,39
4,4,3,3
5,6,1,0
3,0,1,0
2,3,1,2
17,23,1,22
5,8,1,0
0,0,1,0
0,0,1,0
4,1,1,0
1,0,1,0
2,12,1,3
7,10,1,0
16,50,2,27
5,3,4,4
6,5,1,6
0,0,1,0
10,45,1,28
6,21,3,5
1,1,1,0
5,14,1,18
5,4,1,11
0,1,1,0
5,7,3,2
5,7,6,5
4,2,2,0
2,0,1,0
4,1,9,0
15,32,1,44
2,1,1,0
1,0,1,1
2,2,3,2
6,4,1,1
7,14,2,9
9,26,1,10
8,24,1,10
4,1,1,0
8,14,1,0
7,10,1,8
3,2,1,0
4,7,2,5
9,6,1,20
4,1,5,0
7,6,1,0
10,6,1,22
1,6,1,13
3,4,1,1
5,13,1,29
16,23,1,29
5,15,2,7
0,2,4,0
8,7,1,0
9,29,2,28
4,1,7,0
5,3,6,2
5,3,1,3
4,3,7,3
3,6,1,1
5,12,6,4
4,1,3,0
4,1,7,0
6,3,1,11
8,18,2,11
7,6,3,1
1,0,1,1
1,1,1,2
16,40,1,14
7,9,1,7
7,9,7,9
3,2,1,0
5,8,1,29
21,89,1,60
7,25,1,23
5,5,1,12
3,2,1,10
1,0,1,1
3,2,1,0
4,4,3,3
28,21,1,22
0,3,1,5
5,3,1,18
4,7,1,6
8,13,1,3
0,0,1,0
5,4,1,4
13,18,1,42
2,2,3,3
3,2,1,0
8,5,2,26
5,7,1,15
3,3,1,6
4,4,1,2
2,5,1,0
12,12,1,28
17,33,3,9
1,0,1,0
21,30,1,18
6,9,1,9
14,22,1,20
6,19,1,6
3,1,1,0
8,22,2,13
4,3,1,0
1,2,1,0
7,8,2,7
5,4,1,0
3,1,1,0
3,5,2,3
0,0,1,0
2,8,1,1
10,14,2,14
6,5,1,0
0,2,1,0
3,4,1,9
1,0,1,1
128,260,3,290
1,1,1,25
8,5,8,7
3,2,1,0
6,4,1,0
3,2,1,0
5,8,1,4
8,5,1,2
17,31,1,14
9,13,1,24
0,0,1,0
27,44,1,34
7,13,1,32
10,15,1,22
9,7,2,0
51,68,1,61
9,13,1,9
2,1,1,0
5,4,1,11
4,5,2,4
4,3,6,3
4,2,1,9
4,3,7,3
8,4,1,1
2,15,1,10
4,5,1,1
10,14,1,27
4,2,3,0
8,4,2,7
8,7,1,2
6,29,1,5
3,5,1,4
1,1,2,1
9,8,1,6
3,6,1,2
6,6,1,11
4,3,2,0
8,7,1,2
2,1,1,4
3,4,1,0
8,3,1,4
4,3,5,3
3,2,1,0
0,0,1,0
9,27,1,10
6,11,1,19
6,5,1,0
5,4,1,9
4,7,1,3
1,0,1,0
2,1,1,0
7,11,1,9
2,1,1,0
7,13,1,34
1,0,1,1
8,3,2,7
6,20,1,18
7,7,2,12
6,9,1,22
12,36,1,21
6,20,1,15
3,4,1,2
7,19,4,13
11,21,1,15
6,2,1,5
6,2,1,3
2,11,1,9
7,8,3,4
6.037313433,9.267723881,1.699626866,8.90391791
